V240001	V241176 - PRE: What does R dislike about the Republican party [text]
353269	from a party standpoint they are just not cochesive/ao/no 
353415	They're corporate tax leniency /AE/ Nothing else 
353756	i support the republican party as long as they support the normal american values / ae / no 
353983	dislike that a lot of thme just stick to Trump. haven;t done anything to balance the budget, coul be more middle of the road like abortion, handling the speaker of the house 
354122	I don't like how they've gotten more and more conservative, it feels like the average republicans at least the ones I know are less likely to have any liberal views, it being a thing of othering stuff. When I was younger I thought I was conservative but the more I read policies the stuff I thought was conservative was actually liberal. /AE/ No. 
354233	Not all what it seems to be, don't know whose lying or telling the truth, or who has the best interest of our country, both sides could be, rpeulbican party believes in the values that she has, why she's voting republican /AE/ No 
354361	They've gotten soft /AE/ No 
354499	republican party is try to do the opposite and we are the working class are paying for it. they are tyring to gert more money in their pockets and the are trying to make us pay for it/ao/no 
354560	While I agree with some of their policies I find the fact that they have sold out in order to support someone that I think is an unhealty individual in Donald Trump an absolutely repulsive reflection on the party /AE/ No 
354599	the candidate, the president, their voting for the welfare of the party an not bipartisian 
354834	I thinks its the exact oppsite of the democratic party and its hard for citizens to know what their stands are because they' re always changing , I feel their demographics and the people that they pander to are the middle age white men 
354914	Just about everything. They've been taken over by a conman who wants to be a dictator, and he has too many people, they could have stopped him but they did not. They're afraid of him. /AE/ Yeah I mean, they've done nothing, the house of representatives is being obstructive. /AE/ They're accepting far right lies, and many of them will not say that joe biden has won the election. /AE/ That's the best I can come up with. 
355008	Siento que son mas anti inmigrantes /ao/ No seria todo 
355272	They get to mud slingin too much sometimes instead of getting down to brass tacks./ae/no 
355323	They prefer profit over people/ae/no 
355622	Civil rights, inmigration, separation church state 
355942	More war oriented/ae/no 
355971	They're spending too much money, and again special interests like the democrats, it's all about etting elected and not necessarily doing the right thing for the country. /AE/ Yeah I don't like the way that they've treated trump. RINO, they've colluded with the democrats against him. Whereas the majority of republicans want him and his policies, I don't the split in the party. Everybody has the right to their opinion. It's divided a lot of people, my counsins are RINO's, republican in name only, have you heard of that term. /AE/ The thing is I don't like politicians, the stuff I say about them is the same as other politicians. The stuff I say about trump is because he's not a politician, the stuff he could say is he's a jerk but. /AE/ No, that's good. 
